idx,session_id,camera_id,presented_order,time_ms,label_state,sub_label,attributes,confidence,is_uncertain,desc_major,desc_sub,desc_attrs,description,nl_tags,desc_major_encoded,observation.robot_state.joint_positions_2,action.joint_position_0,action.target_cartesian_position_1,action.joint_position_2,action.cartesian_position_1
0,Mon_May_15_22_22_44_2023,20103212,0,7930,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[1/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04385517165064812,-0.04910618445137516,-0.036012448370456696,-0.04357827585772611,-0.03605009987950325
1,Mon_May_15_22_22_44_2023,20103212,1,890,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[2/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04385232925415039,-0.0491045864764601,-0.036012448370456696,-0.04358467200654559,-0.03606876730918884
2,Mon_May_15_22_22_44_2023,20103212,2,357,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[3/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043866124004125595,-0.049103329016361386,-0.036012448370456696,-0.04358077159849927,-0.03607046604156494
3,Mon_May_15_22_22_44_2023,20103212,3,358,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[4/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043860696256160736,-0.049102339311502874,-0.036012448370456696,-0.04357783208251931,-0.03607083112001419
4,Mon_May_15_22_22_44_2023,20103212,4,345,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[5/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043851565569639206,-0.049099096562713385,-0.036012448370456696,-0.04357634120970033,-0.036069873720407486
5,Mon_May_15_22_22_44_2023,20103212,5,324,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[6/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04385395720601082,-0.049103183147963136,-0.036012448370456696,-0.04358130358741619,-0.036074910312891006
6,Mon_May_15_22_22_44_2023,20103212,6,403,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[7/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.0438629649579525,-0.049099027703050524,-0.036012448370456696,-0.04357470746617764,-0.03607054799795151
7,Mon_May_15_22_22_44_2023,20103212,7,374,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[8/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043855585157871246,-0.04909959709038958,-0.036012448370456696,-0.043575878866249695,-0.03607163950800896
8,Mon_May_15_22_22_44_2023,20103212,8,421,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[9/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04385197535157204,-0.04909676418174058,-0.036012448370456696,-0.04357415743288584,-0.03607058525085449
9,Mon_May_15_22_22_44_2023,20103212,9,404,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[10/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043849606066942215,-0.049100219388492405,-0.036012448370456696,-0.04358041926752776,-0.03607472777366638
10,Mon_May_15_22_22_44_2023,20103212,10,403,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[11/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043854761868715286,-0.04910265241051093,-0.036012448370456696,-0.04357887912192382,-0.036075130105018616
11,Mon_May_15_22_22_44_2023,20103212,11,348,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[12/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043854761868715286,-0.04909402009798214,-0.036012448370456696,-0.043570924433879554,-0.03606880083680153
12,Mon_May_15_22_22_44_2023,20103212,12,312,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[13/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.043854761868715286,-0.049100802338216454,-0.036012448370456696,-0.04357399157015607,-0.03607291355729103
13,Mon_May_15_22_22_44_2023,20103212,13,393,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[14/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04385726526379585,-0.049101703392807394,-0.036074936389923096,-0.04357907015946694,-0.036075983196496964
14,Mon_May_15_22_22_44_2023,20103212,14,374,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[15/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04386189952492714,-0.04870551449130289,-0.03556061630091267,-0.042956281336955726,-0.03588145540893524
15,Mon_May_15_22_22_44_2023,20103212,15,342,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[16/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04386042430996895,-0.0501097715459764,-0.04376047408525263,-0.048388248309493065,-0.038987111508638095
16,Mon_May_15_22_22_44_2023,20103212,16,373,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[17/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04383641108870506,-0.051069449400529265,-0.050864502305770665,-0.05222656298428774,-0.041904231352725904
17,Mon_May_15_22_22_44_2023,20103212,17,345,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[18/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04400598257780075,-0.05431923596188426,-0.06209656658248025,-0.0581442154943943,-0.0468684120568481
18,Mon_May_15_22_22_44_2023,20103212,18,389,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[19/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.045010894536972046,-0.05799050536006689,-0.07317389193831136,-0.06554645299911499,-0.05260637735448126
19,Mon_May_15_22_22_44_2023,20103212,19,294,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[20/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.04783725365996361,-0.0608326205983758,-0.0814053824797627,-0.07282469794154167,-0.058219087729430075
20,Mon_May_15_22_22_44_2023,20103212,20,373,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[21/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.052324600517749786,-0.06392247136682272,-0.09307854284493527,-0.08327849209308624,-0.06598061429205687
21,Mon_May_15_22_22_44_2023,20103212,21,1096,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[22/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.05875192955136299,-0.06858401279896498,-0.10157657784526086,-0.09129891358315945,-0.07316990847626528
22,Mon_May_15_22_22_44_2023,20103212,22,310,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[23/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.06681840866804123,-0.07247988972812891,-0.11059679199263794,-0.10183285176753998,-0.08121627656372392
23,Mon_May_15_22_22_44_2023,20103212,23,342,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[24/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.07593577355146408,-0.07889578491449356,-0.11997986240731007,-0.10872203670442104,-0.0896490678323296
24,Mon_May_15_22_22_44_2023,20103212,24,327,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[25/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.08544604480266571,-0.08558187261223793,-0.12688596428968912,-0.11437924206256866,-0.09740999762541952
25,Mon_May_15_22_22_44_2023,20103212,25,374,idle,none,,M,0,로봇이 대기 상태입니다.,특이 동작 없음.,,"[26/250] 로봇이 대기 상태입니다. 특이 동작 없음. (session=Mon_May_15_22_22_44_2023, cam=20103212)",idle;none;standby;waiting;대기;정지,2,-0.09505370259284973,-0.09522534720599651,-0.1413996592004494,-0.12304773554205894,-0.10809458232817784
26,Mon_May_15_22_22_44_2023,20103212,26,846,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[27/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.10412054508924484,-0.10595921240746975,-0.1587787053664228,-0.13308710232377052,-0.11997210259287434
27,Mon_May_15_22_22_44_2023,20103212,27,294,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[28/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.11188989132642746,-0.11705461330711842,-0.1733521578502607,-0.1425072904676199,-0.13133566855609236
28,Mon_May_15_22_22_44_2023,20103212,28,352,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[29/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.11969172209501266,-0.12640323676168919,-0.1830949389504094,-0.15318794175982475,-0.14124718042339007
29,Mon_May_15_22_22_44_2023,20103212,29,167,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[30/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.12857794761657715,-0.11660383781418204,-0.11098482459783554,-0.13412771467119455,-0.1209527924656868
30,Mon_May_15_22_22_44_2023,20103212,30,318,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[31/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.1384098380804062,-0.1262974077835679,-0.11098482459783554,-0.14148655673488975,-0.129911869764328
31,Mon_May_15_22_22_44_2023,20103212,31,325,approach,far,,M,0,로봇이 대상에 접근하고 있습니다.,먼 거리에서 접근 중.,,"[32/250] 로봇이 대상에 접근하고 있습니다. 먼 거리에서 접근 중. (session=Mon_May_15_22_22_44_2023, cam=20103212)",approach;distant;far;move closer;다가감;먼;접근,3,-0.14627869427204132,-0.13251397525891662,-0.11098482459783554,-0.14612729055806994,-0.13598746061325073
